CVE,A@E,exploited,published
2019-1937,1682,2023-07-15,2018-12-06
2020-11060,1288,2023-10-09,2020-03-30
2022-23513,593,2023-09-04,2022-01-19
2022-25148,567,2023-09-04,2022-02-14
2022-22963,547,2023-07-11,2022-01-10
2022-24715,520,2023-07-15,2022-02-10
2022-28171,477,2023-07-19,2022-03-29
2022-31470,473,2023-09-08,2022-05-23
2022-35919,451,2023-10-09,2022-07-15
2023-26604,165,2023-08-10,2023-02-26
2023-27163,164,2023-08-10,2023-02-27
2023-32707,151,2023-10-09,2023-05-11
2023-1389,149,2023-08-10,2023-03-14
2023-27253,143,2023-07-20,2023-02-27
2023-1258,134,2023-07-19,2023-03-07
2023-29689,123,2023-08-08,2023-04-07
2023-31067,119,2023-08-21,2023-04-24
2023-31068,119,2023-08-21,2023-04-24
2023-31069,119,2023-08-21,2023-04-24
2023-32560,117,2023-09-04,2023-05-10
2023-31468,115,2023-08-21,2023-04-28
2023-30367,112,2023-07-28,2023-04-07
2023-29918,112,2023-07-28,2023-04-07
2023-34723,93,2023-09-08,2023-06-07
2023-2636,79,2023-07-28,2023-05-10
2023-2796,78,2023-08-04,2023-05-18
2023-38836,76,2023-10-09,2023-07-25
2023-33383,74,2023-08-04,2023-05-22
2023-39362,73,2023-10-09,2023-07-28
2023-33148,64,2023-07-20,2023-05-17
2023-4278,61,2023-10-09,2023-08-09
2023-3219,52,2023-08-04,2023-06-13
2023-34634,51,2023-07-28,2023-06-07
2022-4953,51,2023-09-08,2023-07-19
2023-4548,44,2023-10-08,2023-08-25
2023-36306,44,2023-08-04,2023-06-21
2023-34635,43,2023-07-20,2023-06-07
2023-37759,42,2023-08-21,2023-07-10
2023-39026,41,2023-09-04,2023-07-25
2023-4634,40,2023-10-09,2023-08-30
2023-4708,38,2023-10-09,2023-09-01
2023-36266,37,2023-07-28,2023-06-21
2023-37569,32,2023-08-08,2023-07-07
2023-37979,24,2023-08-04,2023-07-11
2023-36163,20,2023-07-11,2023-06-21
2023-4382,19,2023-09-04,2023-08-16
2023-4407,17,2023-09-04,2023-08-18
2023-37269,16,2023-07-15,2023-06-29
2023-4547,10,2023-09-04,2023-08-25
2023-38501,10,2023-07-28,2023-07-18
2023-39115,10,2023-08-04,2023-07-25
2023-37629,9,2023-07-19,2023-07-10
2023-3844,6,2023-07-28,2023-07-22
2023-3846,6,2023-07-28,2023-07-22
2023-3849,6,2023-07-28,2023-07-22
2023-3848,6,2023-07-28,2023-07-22
2023-39147,6,2023-07-31,2023-07-25
2023-3843,6,2023-07-28,2023-07-22
2023-3847,6,2023-07-28,2023-07-22
2023-3845,6,2023-07-28,2023-07-22
2023-38357,5,2023-07-20,2023-07-15
2023-4168,4,2023-08-08,2023-08-04
2023-4173,3,2023-08-08,2023-08-05
2023-4174,3,2023-08-08,2023-08-05
2023-4114,2,2023-08-04,2023-08-02
2023-4117,2,2023-08-04,2023-08-02
2023-4112,2,2023-08-04,2023-08-02
2023-4116,2,2023-08-04,2023-08-02
2023-4115,2,2023-08-04,2023-08-02
2023-4113,2,2023-08-04,2023-08-02
